iata_code,name,latitude,longitude,elevation_ft,continent,country_code,region_code,city,airport_type,is_hub,region
TMX,Timimoun Airport,29.237101,0.276033,1027.0,AF,DZ,DZ-54,Timimoun,medium_airport,False,DZ
TNA,Jinan Yaoqiang International Airport,36.857201,117.216003,76.0,AS,CN,CN-37,Jinan (Licheng),large_airport,False,CN
TND,Alberto Delgado Airport,21.7883,-79.9972,125.0,,CU,CU-07,Trinidad,medium_airport,False,CU
TNE,New Tanegashima Airport,30.605100631699997,130.990997314,768.0,AS,JP,JP-46,Tanegashima,medium_airport,False,JP
TNG,Tangier Ibn Battuta Airport,35.731741,-5.921459,62.0,AF,MA,MA-01,Tangier,large_airport,False,MA
TNH,Tonghua Sanyuanpu Airport,42.2538888889,125.703333333,1200.0,AS,CN,CN-22,Tonghua,medium_airport,False,CN
TNN,Tainan International Airport / Tainan Air Base,22.950399,120.206001,63.0,AS,TW,TW-TNN,Tainan (Rende),medium_airport,False,TW
TNR,Ivato Airport,-18.7969,47.478802,4198.0,AF,MG,MG-T,Antananarivo,large_airport,False,MG
TOD,Tioman Airport,2.81818,104.160004,15.0,AS,MY,MY-06,Tioman Island,medium_airport,False,MY
TOE,Tozeur Nefta International Airport,33.939701080322266,8.110560417175293,287.0,AF,TN,TN-72,Tozeur,medium_airport,False,TN
TOF,Bogashevo Airport,56.380298614502,85.208297729492,597.0,AS,RU,RU-TOM,Tomsk,medium_airport,False,RU
TOL,Eugene F. Kranz Toledo Express Airport,41.5868,-83.8078,683.0,,US,US-OH,Toledo,medium_airport,False,US
TOM,Timbuktu Airport,16.730499,-3.00758,863.0,AF,ML,ML-7,Timbuktu,medium_airport,False,ML
TOS,"Tromsø Airport, Langnes",69.683296,18.9189,31.0,EU,NO,NO-55,Tromsø,large_airport,False,NO
TOU,Touho Airport,-20.790127,165.259524,10.0,OC,NC,NC-02,Touho,medium_airport,False,NC
TOY,Toyama Airport,36.64830017089844,137.18800354003906,95.0,AS,JP,JP-16,Toyama,medium_airport,False,JP
TPA,Tampa International Airport,27.9755,-82.533203,26.0,,US,US-FL,Tampa,large_airport,False,US
TPE,Taiwan Taoyuan International Airport,25.0777,121.233002,106.0,AS,TW,TW-TAO,Taoyuan,large_airport,False,TW
TPJ,Taplejung Airport,27.3509,87.69525,7990.0,AS,NP,NP-P1,Taplejung,medium_airport,False,NP
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,-6.508739948272705,-76.37319946289062,869.0,SA,PE,PE-SAM,Tarapoto,medium_airport,False,PE
TPQ,Amado Nervo National Airport,21.419833,-104.842472,3020.0,,MX,MX-NAY,Tepic,medium_airport,False,MX
TPS,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,25.0,EU,IT,IT-82,Trapani (TP),medium_airport,False,IT
TQO,Felipe Carrillo Puerto International Airport,20.172098,-87.660272,66.0,,MX,MX-ROO,Tulum,medium_airport,False,MX
TRA,Tarama Airport,24.653793,124.675453,36.0,AS,JP,JP-47,Tarama,medium_airport,False,JP
TRC,Francisco Sarabia Tinoco International Airport,25.5683,-103.411003,3688.0,,MX,MX-COA,Torreón,medium_airport,False,MX
TRD,"Trondheim Airport, Værnes",63.457802,10.924,56.0,EU,NO,NO-50,Trondheim,large_airport,False,NO
TRE,Tiree Airport,56.49919891357422,-6.869170188903809,38.0,EU,GB,GB-SCT,Balemartine,medium_airport,False,GB
TRF,"Sandefjord Airport, Torp",59.186699,10.2586,286.0,EU,NO,NO-39,Torp,medium_airport,False,NO
